MuiDataGrid-cell,flag_icon src,MuiChip-label href,MuiChip-label,MuiDataGrid-cell 2,MuiDataGrid-cell 3,MuiDataGrid-cell 4,MuiDataGrid-cell 5,MuiDataGrid-cell 6,MuiDataGrid-cell 7,MuiDataGrid-cell 8,MuiDataGrid-cell 9,MuiDataGrid-cell 10,MuiDataGrid-cell 11,MuiDataGrid-cell 12,MuiDataGrid-cell 13,MuiDataGrid-cell 14,MuiDataGrid-cell 15
1,https://data.worldhappiness.report/images/flags_iso_3/FIN.png,https://data.worldhappiness.report/country/FIN,Finland,7.736,0.347,2,2,15,18,4,56,2,25,7,56,75.0,77
2,https://data.worldhappiness.report/images/flags_iso_3/DNK.png,https://data.worldhappiness.report/country/DNK,Denmark,7.521,−0.172,28,4,5,15,10,31,4,11,35,31,60.0,70
3,https://data.worldhappiness.report/images/flags_iso_3/ISL.png,https://data.worldhappiness.report/country/ISL,Iceland,7.515,0.160,5,1,8,4,3,5,31,8,8,5,66.0,102
4,https://data.worldhappiness.report/images/flags_iso_3/SWE.png,https://data.worldhappiness.report/country/SWE,Sweden,7.345,−0.135,11,27,12,7,21,20,5,23,24,20,78.0,71
5,https://data.worldhappiness.report/images/flags_iso_3/NLD.png,https://data.worldhappiness.report/country/NLD,Netherlands,7.306,−0.206,1,28,6,-,41,9,11,41,34,9,46.0,128
6,https://data.worldhappiness.report/images/flags_iso_3/CRI.png,https://data.worldhappiness.report/country/CRI,Costa Rica,7.274,0.017,58,36,50,29,13,115,70,9,75,115,84.0,60
7,https://data.worldhappiness.report/images/flags_iso_3/NOR.png,https://data.worldhappiness.report/country/NOR,Norway,7.262,−0.393,17,19,2,5,17,18,8,29,46,18,25.0,92
8,https://data.worldhappiness.report/images/flags_iso_3/ISR.png,https://data.worldhappiness.report/country/ISR,Israel,7.234,−0.067,15,13,25,9,87,19,32,100,80,19,49.0,63
9,https://data.worldhappiness.report/images/flags_iso_3/LUX.png,https://data.worldhappiness.report/country/LUX,Luxembourg,7.122,0.068,-,-,-,-,-,-,-,-,-,-,,-
10,https://data.worldhappiness.report/images/flags_iso_3/MEX.png,https://data.worldhappiness.report/country/MEX,Mexico,6.979,−0.109,71,61,57,79,27,104,59,6,14,104,81.0,44
