Country,Happiness_Score,Score_Change,Temperature_C,Temperature_Current,Temperature_Average,Rank,Rank_GDP,Rank_Social_Support,Rank_Life_Expectancy,Rank_Freedom,Rank_Generosity,Rank_Corruption
Finland,7.736,0.347,3.23,3.59,2.87,1,2.0,2.0,15.0,18.0,4.0,56.0
Denmark,7.521,,9.795,10.03,9.56,2,28.0,4.0,5.0,15.0,10.0,31.0
Iceland,7.515,0.16,1.505,1.24,1.77,3,5.0,1.0,8.0,4.0,3.0,5.0
Sweden,7.345,,3.785,4.19,3.38,4,11.0,27.0,12.0,7.0,21.0,20.0
Netherlands,7.306,,11.725,11.77,11.68,5,1.0,28.0,6.0,,41.0,9.0
Costa Rica,7.274,0.017,25.310000000000002,25.21,25.41,6,58.0,36.0,50.0,29.0,13.0,115.0
Norway,7.262,,2.695,3.11,2.28,7,17.0,19.0,2.0,5.0,17.0,18.0
Israel,7.234,,20.985,20.95,21.02,8,15.0,13.0,25.0,9.0,87.0,19.0
Luxembourg,7.122,0.068,11.225,11.11,11.34,9,,,,,,
Mexico,6.979,,22.455,22.68,22.23,10,71.0,61.0,57.0,79.0,27.0,104.0
Australia,6.974,,22.54,22.77,22.31,11,36.0,42.0,13.0,12.0,49.0,22.0
New Zealand,6.952,,11.05,10.9,11.2,12,32.0,24.0,24.0,17.0,32.0,25.0
Switzerland,6.935,,7.9,7.82,7.98,13,3.0,20.0,3.0,6.0,20.0,12.0
Belgium,6.91,,11.844999999999999,11.77,11.92,14,4.0,31.0,11.0,20.0,26.0,48.0
Ireland,6.889,,10.45,10.25,10.65,15,8.0,22.0,1.0,16.0,33.0,3.0
Lithuania,6.829,1.403,8.895,9.21,8.58,16,27.0,3.0,27.0,52.0,62.0,92.0
Austria,6.81,,9.05,9.26,8.84,17,18.0,25.0,10.0,19.0,54.0,7.0
Canada,6.803,,,,,18,44.0,35.0,16.0,21.0,68.0,27.0
Slovenia,6.792,0.732,11.48,11.65,11.31,19,29.0,6.0,23.0,23.0,8.0,40.0
Czechia,6.775,0.485,10.325,10.59,10.06,20,34.0,9.0,26.0,36.0,31.0,44.0
United Arab Emirates,6.759,,28.78,28.62,28.94,21,63.0,92.0,7.0,30.0,14.0,23.0
Germany,6.753,0.081,11.04,11.19,10.89,22,31.0,37.0,9.0,24.0,56.0,14.0
United Kingdom,6.728,,10.010000000000002,9.88,10.14,23,7.0,44.0,20.0,25.0,35.0,6.0
United States,6.724,,10.49,10.73,10.25,24,13.0,12.0,4.0,56.0,115.0,16.0
Belize,6.711,99.0,26.53,26.63,26.43,25,57.0,83.0,1.0,,96.0,92.0
Poland,6.673,0.851,10.58,10.91,10.25,26,6.0,34.0,30.0,40.0,37.0,114.0
Taiwan Province of China,6.669,0.448,21.064999999999998,21.22,20.91,27,33.0,33.0,74.0,,34.0,42.0
Uruguay,6.661,0.306,18.685000000000002,18.44,18.93,28,48.0,17.0,46.0,45.0,18.0,83.0
Kosovo,6.659,1.437,,,,29,41.0,70.0,77.0,,28.0,17.0
Kuwait,6.629,0.114,27.4,27.27,27.53,30,125.0,87.0,29.0,,42.0,41.0
Serbia,6.606,1.793,13.215,13.43,13.0,31,45.0,29.0,51.0,57.0,66.0,36.0
Saudi Arabia,6.6,0.12,26.44,26.35,26.53,32,65.0,59.0,17.0,38.0,35.0,43.0
France,6.593,,12.835,12.65,13.02,33,10.0,41.0,18.0,14.0,84.0,45.0
Singapore,6.565,0.019,28.259999999999998,28.41,28.11,34,16.0,53.0,55.0,1.0,24.0,1.0
Romania,6.563,1.53,12.085,12.27,11.9,35,46.0,81.0,34.0,58.0,38.0,117.0
Brazil,6.494,,25.97,26.02,25.92,36,79.0,56.0,62.0,75.0,59.0,71.0
El Salvador,6.492,0.683,25.935000000000002,26.01,25.86,37,98.0,100.0,86.0,73.0,11.0,133.0
Spain,6.466,0.144,15.129999999999999,15.1,15.16,38,9.0,16.0,22.0,8.0,88.0,32.0
Estonia,6.417,0.991,7.245,7.58,6.91,39,30.0,23.0,35.0,32.0,52.0,39.0
Italy,6.415,0.394,14.485,14.58,14.39,40,19.0,52.0,19.0,13.0,103.0,89.0
Panama,6.407,,26.085,26.13,26.04,41,93.0,38.0,41.0,33.0,44.0,124.0
Argentina,6.397,,15.754999999999999,15.56,15.95,42,38.0,21.0,52.0,49.0,47.0,112.0
Kazakhstan,6.378,0.707,8.43,7.93,8.93,43,25.0,18.0,42.0,77.0,57.0,49.0
Guatemala,6.362,0.397,24.479999999999997,24.58,24.38,44,131.0,94.0,84.0,,22.0,106.0
Chile,6.361,,9.895,9.73,10.06,45,53.0,43.0,47.0,28.0,63.0,75.0
Viet Nam,6.352,0.819,25.515,25.54,25.49,46,20.0,49.0,78.0,41.0,2.0,129.0
Nicaragua,6.33,0.823,26.54,26.56,26.52,47,112.0,60.0,98.0,50.0,39.0,82.0
Malta,6.316,0.352,20.445,20.62,20.27,48,43.0,26.0,50.0,11.0,15.0,67.0
Thailand,6.222,,27.645,27.79,27.5,49,67.0,50.0,59.0,37.0,16.0,8.0
Slovakia,6.221,0.252,10.809999999999999,11.08,10.54,50,12.0,5.0,37.0,47.0,80.0,80.0
Latvia,6.207,1.161,8.185,8.51,7.86,51,39.0,8.0,38.0,59.0,64.0,66.0
Oman,6.197,,28.285,28.22,28.35,52,121.0,71.0,40.0,,25.0,29.0
Uzbekistan,6.193,0.57,15.115,14.59,15.64,53,87.0,30.0,90.0,65.0,6.0,33.0
Paraguay,6.172,0.393,24.96,24.85,25.07,54,110.0,32.0,72.0,84.0,30.0,84.0
Japan,6.147,0.083,13.055,13.11,13.0,55,47.0,48.0,28.0,2.0,79.0,130.0
Bosnia and Herzegovina,6.136,1.323,12.004999999999999,12.23,11.78,56,66.0,47.0,60.0,46.0,89.0,28.0
Philippines,6.107,1.122,27.04,27.16,26.92,57,104.0,68.0,89.0,93.0,19.0,91.0
