tablescraper-selected-row,mw-file-element src,tablescraper-selected-row 2,tablescraper-selected-row href,tablescraper-selected-row 3,tablescraper-selected-row 4
1,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Flag_of_Burkina_Faso.svg/40px-Flag_of_Burkina_Faso.svg.png,Burkina Faso,https://en.wikipedia.org/wiki/Burkina_Faso,Africa,30.40 °C (86.72 °F)
2,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Mali.svg/40px-Flag_of_Mali.svg.png,Mali,https://en.wikipedia.org/wiki/Mali,Africa,29.21 °C (84.58 °F)
3,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Aruba.svg/40px-Flag_of_Aruba.svg.png,Aruba,https://en.wikipedia.org/wiki/Aruba,South America,29.17 °C (84.51 °F)
4,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Flag_of_Senegal.svg/40px-Flag_of_Senegal.svg.png,Senegal,https://en.wikipedia.org/wiki/Senegal,Africa,28.90 °C (84.02 °F)
5,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Flag_of_Mauritania.svg/40px-Flag_of_Mauritania.svg.png,Mauritania,https://en.wikipedia.org/wiki/Mauritania,Africa,28.82 °C (83.88 °F)
6,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Flag_of_Tokelau.svg/40px-Flag_of_Tokelau.svg.png,Tokelau,https://en.wikipedia.org/wiki/Tokelau,Oceania,28.71 °C (83.68 °F)
7,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Flag_of_Tuvalu.svg/40px-Flag_of_Tuvalu.svg.png,Tuvalu,https://en.wikipedia.org/wiki/Tuvalu,Oceania,28.62 °C (83.52 °F)
8,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Flag_of_Djibouti.svg/40px-Flag_of_Djibouti.svg.png,Djibouti,https://en.wikipedia.org/wiki/Djibouti,Africa,28.49 °C (83.28 °F)
9,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Flag_of_Cura%C3%A7ao.svg/40px-Flag_of_Cura%C3%A7ao.svg.png,Curaçao,https://en.wikipedia.org/wiki/Cura%C3%A7ao,North America,28.40 °C (83.12 °F)
10,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_The_Gambia.svg/40px-Flag_of_The_Gambia.svg.png,Gambia,https://en.wikipedia.org/wiki/The_Gambia,Africa,28.38 °C (83.08 °F)
