tablescraper-selected-row,tablescraper-selected-row href,tablescraper-selected-row 2,tablescraper-selected-row 3,d-none
Burkina Faso,https://tradingeconomics.com/burkina-faso/temperature,29.94,29.98,Dec/24
Mali,https://tradingeconomics.com/mali/temperature,29.69,29.71,Dec/24
Aruba,https://tradingeconomics.com/aruba/temperature,29.63,29.45,Dec/24
Senegal,https://tradingeconomics.com/senegal/temperature,29.41,29.67,Dec/24
Mauritania,https://tradingeconomics.com/mauritania/temperature,29.25,29.39,Dec/24
Djibouti,https://tradingeconomics.com/djibouti/temperature,29.22,28.6,Dec/24
Gambia,https://tradingeconomics.com/gambia/temperature,28.84,29.15,Dec/24
Qatar,https://tradingeconomics.com/qatar/temperature,28.7,29.11,Dec/24
Marshall Islands,https://tradingeconomics.com/marshall-islands/temperature,28.62,28.3,Dec/24
United Arab Emirates,https://tradingeconomics.com/united-arab-emirates/temperature,28.62,28.94,Dec/24
Bahrain,https://tradingeconomics.com/bahrain/temperature,28.57,28.88,Dec/24
Benin,https://tradingeconomics.com/benin/temperature,28.57,28.58,Dec/24
St Kitts and Nevis,https://tradingeconomics.com/st-kitts-and-nevis/temperature,28.49,28.05,Dec/24
Guinea Bissau,https://tradingeconomics.com/guinea-bissau/temperature,28.47,28.68,Dec/24
Cayman Islands,https://tradingeconomics.com/cayman-islands/temperature,28.45,28.64,Dec/24
Singapore,https://tradingeconomics.com/singapore/temperature,28.41,28.11,Dec/24
Maldives,https://tradingeconomics.com/maldives/temperature,28.37,28.18,Dec/24
Ghana,https://tradingeconomics.com/ghana/temperature,28.36,28.27,Dec/24
Cambodia,https://tradingeconomics.com/cambodia/temperature,28.25,27.98,Dec/24
Antigua and Barbuda,https://tradingeconomics.com/antigua-and-barbuda/temperature,28.23,27.75,Dec/24
Oman,https://tradingeconomics.com/oman/temperature,28.22,28.35,Dec/24
Niger,https://tradingeconomics.com/niger/temperature,28.19,28.34,Dec/24
Samoa,https://tradingeconomics.com/samoa/temperature,28.13,27.72,Dec/24
Togo,https://tradingeconomics.com/togo/temperature,28.06,27.94,Dec/24
Micronesia,https://tradingeconomics.com/micronesia/temperature,27.96,27.68,Dec/24
American Samoa,https://tradingeconomics.com/american-samoa/temperature,27.92,27.5,Dec/24
Guam,https://tradingeconomics.com/guam/temperature,27.91,27.67,Dec/24
St Lucia,https://tradingeconomics.com/st-lucia/temperature,27.88,27.37,Dec/24
Virgin Islands,https://tradingeconomics.com/virgin-islands/temperature,27.88,27.52,Dec/24
Sri Lanka,https://tradingeconomics.com/sri-lanka/temperature,27.86,27.41,Dec/24
Kiribati,https://tradingeconomics.com/kiribati/temperature,27.81,27.79,Dec/24
Palau,https://tradingeconomics.com/palau/temperature,27.81,27.26,Dec/24
Thailand,https://tradingeconomics.com/thailand/temperature,27.79,27.5,Dec/24
Sudan,https://tradingeconomics.com/sudan/temperature,27.73,27.8,Dec/24
Dominica,https://tradingeconomics.com/dominica/temperature,27.7,27.2,Dec/24
Nigeria,https://tradingeconomics.com/nigeria/temperature,27.65,27.72,Dec/24
