tb1,tb1 href,tb2,tb3,tb4,tb5,tb6
Burkina Faso,https://www.worldeconomics.com/ESG/Environment/Temperatures/Burkina%20Faso.aspx,28.8°,29.2°,29.5°,29.7°,29.9°
Mali,https://www.worldeconomics.com/ESG/Environment/Temperatures/Mali.aspx,28.7°,29.1°,29.4°,29.4°,29.7°
Senegal,https://www.worldeconomics.com/ESG/Environment/Temperatures/Senegal.aspx,28.4°,28.7°,29.0°,29.2°,29.4°
Mauritania,https://www.worldeconomics.com/ESG/Environment/Temperatures/Mauritania.aspx,28.3°,28.7°,28.9°,29.0°,29.3°
Gambia,https://www.worldeconomics.com/ESG/Environment/Temperatures/Gambia.aspx,27.8°,28.2°,28.5°,28.7°,28.8°
Benin,https://www.worldeconomics.com/ESG/Environment/Temperatures/Benin.aspx,27.7°,27.9°,28.3°,28.4°,28.6°
Niger,https://www.worldeconomics.com/ESG/Environment/Temperatures/Niger.aspx,27.6°,27.8°,28.1°,28.1°,28.2°
United Arab Emirates,https://www.worldeconomics.com/ESG/Environment/Temperatures/United%20Arab%20Emirates.aspx,27.6°,28.0°,28.5°,28.6°,28.6°
Guinea-Bissau,https://www.worldeconomics.com/ESG/Environment/Temperatures/GuineaBissau.aspx,27.5°,27.8°,28.1°,28.3°,28.5°
Ghana,https://www.worldeconomics.com/ESG/Environment/Temperatures/Ghana.aspx,27.3°,27.6°,27.9°,28.1°,28.4°
Sudan,https://www.worldeconomics.com/ESG/Environment/Temperatures/Sudan.aspx,27.2°,27.8°,28.1°,28.1°,27.7°
Qatar,https://www.worldeconomics.com/ESG/Environment/Temperatures/Qatar.aspx,27.2°,27.8°,28.4°,28.7°,28.7°
Oman,https://www.worldeconomics.com/ESG/Environment/Temperatures/Oman.aspx,27.2°,27.6°,27.9°,28.0°,28.2°
Singapore,https://www.worldeconomics.com/ESG/Environment/Temperatures/Singapore.aspx,27.2°,27.5°,27.9°,28.1°,28.4°
Chad,https://www.worldeconomics.com/ESG/Environment/Temperatures/Chad.aspx,27.1°,27.4°,27.7°,27.6°,27.4°
Togo,https://www.worldeconomics.com/ESG/Environment/Temperatures/Togo.aspx,27.0°,27.3°,27.6°,27.8°,28.1°
Nigeria,https://www.worldeconomics.com/ESG/Environment/Temperatures/Nigeria.aspx,27.0°,27.2°,27.4°,27.5°,27.7°
Cambodia,https://www.worldeconomics.com/ESG/Environment/Temperatures/Cambodia.aspx,27.0°,27.3°,27.4°,27.7°,28.3°
Bahrain,https://www.worldeconomics.com/ESG/Environment/Temperatures/Bahrain.aspx,26.8°,27.4°,28.1°,28.5°,28.6°
Sri Lanka,https://www.worldeconomics.com/ESG/Environment/Temperatures/Sri%20Lanka.aspx,26.7°,27.1°,27.3°,27.5°,27.9°
Brunei,https://www.worldeconomics.com/ESG/Environment/Temperatures/Brunei.aspx,26.6°,26.8°,27.0°,27.2°,27.6°
Thailand,https://www.worldeconomics.com/ESG/Environment/Temperatures/Thailand.aspx,26.5°,26.8°,26.9°,27.2°,27.8°
Cote d'Ivoire,https://www.worldeconomics.com/ESG/Environment/Temperatures/CotedIvoire.aspx,26.5°,26.7°,27.0°,27.1°,27.4°
Suriname,https://www.worldeconomics.com/ESG/Environment/Temperatures/Suriname.aspx,26.3°,26.5°,26.7°,26.9°,27.6°
Sierra Leone,https://www.worldeconomics.com/ESG/Environment/Temperatures/Sierra%20Leone.aspx,26.2°,26.4°,26.6°,26.8°,27.0°
Trinidad and Tobago,https://www.worldeconomics.com/ESG/Environment/Temperatures/Trinidad%20and%20Tobago.aspx,26.1°,26.6°,26.9°,26.9°,27.6°
Malaysia,https://www.worldeconomics.com/ESG/Environment/Temperatures/Malaysia.aspx,26.0°,26.2°,26.5°,26.7°,27.1°
Philippines,https://www.worldeconomics.com/ESG/Environment/Temperatures/Philippines.aspx,25.9°,26.2°,26.4°,26.6°,27.2°
Guyana,https://www.worldeconomics.com/ESG/Environment/Temperatures/Guyana.aspx,25.9°,26.0°,26.3°,26.4°,27.1°
Indonesia,https://www.worldeconomics.com/ESG/Environment/Temperatures/Indonesia.aspx,25.7°,25.9°,26.0°,26.1°,26.4°
Guinea,https://www.worldeconomics.com/ESG/Environment/Temperatures/Guinea.aspx,25.5°,25.8°,26.0°,26.3°,26.6°
Bangladesh,https://www.worldeconomics.com/ESG/Environment/Temperatures/Bangladesh.aspx,25.5°,25.7°,25.8°,25.7°,26.2°
Kuwait,https://www.worldeconomics.com/ESG/Environment/Temperatures/Kuwait.aspx,25.5°,26.2°,26.8°,27.2°,27.3°
